index,time,open,high,low,close,tick_volume,spread,real_volume
0,2024-01-15 10:03:00,66.13,66.2,66.11,66.15,412,1,311700
1,2024-01-15 10:04:00,66.18,66.2,66.02,66.02,199,1,122700
2,2024-01-15 10:05:00,66.04,66.06,65.94,65.94,181,1,138100
3,2024-01-15 10:06:00,65.95,66.0,65.91,65.97,235,1,209900
4,2024-01-15 10:07:00,65.95,66.0,65.91,65.95,180,1,109300
5,2024-01-15 10:08:00,65.95,66.04,65.92,66.04,117,1,85400
6,2024-01-15 10:09:00,66.04,66.06,65.98,66.0,76,1,67200
7,2024-01-15 10:10:00,65.99,65.99,65.9,65.9,88,1,26400
8,2024-01-15 10:11:00,65.89,65.91,65.85,65.89,132,1,47000
9,2024-01-15 10:12:00,65.91,65.94,65.89,65.93,76,1,60100
10,2024-01-15 10:13:00,65.93,66.0,65.92,65.92,91,1,53900
11,2024-01-15 10:14:00,65.92,65.94,65.89,65.89,52,1,20700
12,2024-01-15 10:15:00,65.89,65.9,65.88,65.89,69,1,30400
13,2024-01-15 10:16:00,65.89,65.89,65.74,65.75,273,1,214200
14,2024-01-15 10:17:00,65.75,65.76,65.64,65.69,214,1,94300
15,2024-01-15 10:18:00,65.69,65.76,65.69,65.75,123,1,72900
16,2024-01-15 10:19:00,65.73,65.75,65.64,65.67,220,1,104600
17,2024-01-15 10:20:00,65.69,65.74,65.64,65.72,90,1,34500
18,2024-01-15 10:21:00,65.74,65.76,65.69,65.75,121,1,84400
19,2024-01-15 10:22:00,65.76,65.76,65.69,65.7,104,1,33700
20,2024-01-15 10:23:00,65.69,65.7,65.65,65.69,122,1,33200
21,2024-01-15 10:24:00,65.68,65.7,65.64,65.7,54,1,10100
22,2024-01-15 10:25:00,65.69,65.75,65.69,65.69,59,1,16400
23,2024-01-15 10:26:00,65.7,65.73,65.66,65.69,73,1,28300
24,2024-01-15 10:27:00,65.71,65.74,65.69,65.74,27,1,4200
25,2024-01-15 10:28:00,65.74,65.74,65.69,65.71,61,1,16100
26,2024-01-15 10:29:00,65.69,65.75,65.68,65.68,121,1,29700
27,2024-01-15 10:30:00,65.69,65.7,65.68,65.68,44,1,9200
28,2024-01-15 10:31:00,65.68,65.69,65.66,65.69,49,1,14800
29,2024-01-15 10:32:00,65.68,65.7,65.68,65.69,29,1,5800
30,2024-01-15 10:33:00,65.69,65.72,65.69,65.71,52,1,24100
31,2024-01-15 10:34:00,65.72,65.72,65.66,65.7,172,1,61300
32,2024-01-15 10:35:00,65.7,65.71,65.7,65.7,42,1,6700
33,2024-01-15 10:36:00,65.7,65.73,65.68,65.69,120,1,130000
34,2024-01-15 10:37:00,65.69,65.76,65.69,65.76,75,1,21000
35,2024-01-15 10:38:00,65.74,65.85,65.74,65.78,234,1,83300
36,2024-01-15 10:39:00,65.81,65.81,65.78,65.79,73,1,17900
37,2024-01-15 10:40:00,65.8,65.84,65.79,65.84,137,1,50300
38,2024-01-15 10:41:00,65.83,65.84,65.76,65.79,189,1,82900
39,2024-01-15 10:42:00,65.78,65.84,65.78,65.79,151,1,338000
40,2024-01-15 10:43:00,65.8,65.81,65.79,65.81,49,1,10000
41,2024-01-15 10:44:00,65.81,65.82,65.79,65.8,87,1,27400
42,2024-01-15 10:45:00,65.79,65.81,65.79,65.8,54,1,11300
43,2024-01-15 10:46:00,65.8,65.84,65.8,65.84,82,1,29400
44,2024-01-15 10:47:00,65.84,65.84,65.83,65.83,42,1,9100
45,2024-01-15 10:48:00,65.83,65.84,65.78,65.79,80,1,23100
46,2024-01-15 10:49:00,65.79,65.79,65.78,65.78,115,1,49800
47,2024-01-15 10:50:00,65.78,65.81,65.78,65.78,53,1,11200
48,2024-01-15 10:51:00,65.79,65.83,65.78,65.79,101,1,41000
49,2024-01-15 10:52:00,65.79,65.81,65.78,65.8,68,1,16900
50,2024-01-15 10:53:00,65.8,65.84,65.8,65.83,97,1,53600
51,2024-01-15 10:54:00,65.83,65.83,65.8,65.8,45,1,8900
52,2024-01-15 10:55:00,65.8,65.81,65.8,65.8,28,1,7200
53,2024-01-15 10:56:00,65.81,65.81,65.75,65.75,88,1,31900
54,2024-01-15 10:57:00,65.75,65.75,65.74,65.75,45,1,14900
55,2024-01-15 10:58:00,65.74,65.76,65.74,65.76,57,1,16100
56,2024-01-15 10:59:00,65.76,65.78,65.76,65.78,55,1,16400
57,2024-01-15 11:00:00,65.77,65.78,65.77,65.77,28,1,7000
58,2024-01-15 11:01:00,65.78,65.8,65.77,65.79,54,1,10400
59,2024-01-15 11:02:00,65.8,65.8,65.78,65.78,48,1,24900
60,2024-01-15 11:03:00,65.78,65.78,65.72,65.73,62,1,24400
61,2024-01-15 11:04:00,65.72,65.75,65.72,65.73,48,1,12700
62,2024-01-15 11:05:00,65.73,65.76,65.73,65.75,41,1,17400
63,2024-01-15 11:06:00,65.76,65.81,65.75,65.8,47,1,12700
64,2024-01-15 11:07:00,65.81,65.84,65.79,65.79,57,1,15100
65,2024-01-15 11:08:00,65.79,65.81,65.79,65.81,26,1,7300
66,2024-01-15 11:09:00,65.82,65.83,65.8,65.81,42,1,13200
67,2024-01-15 11:10:00,65.82,65.82,65.79,65.79,32,1,13900
68,2024-01-15 11:11:00,65.79,65.82,65.79,65.8,43,1,14600
69,2024-01-15 11:12:00,65.82,65.82,65.8,65.81,13,1,8400
70,2024-01-15 11:13:00,65.8,65.83,65.8,65.82,30,1,7900
71,2024-01-15 11:14:00,65.81,65.83,65.81,65.82,39,1,10700
72,2024-01-15 11:15:00,65.82,65.83,65.8,65.8,39,1,14600
73,2024-01-15 11:16:00,65.8,65.82,65.74,65.75,79,1,44100
74,2024-01-15 11:17:00,65.76,65.76,65.73,65.73,43,1,15600
75,2024-01-15 11:18:00,65.73,65.74,65.68,65.71,136,1,96300
76,2024-01-15 11:19:00,65.71,65.72,65.68,65.72,48,1,23200
77,2024-01-15 11:20:00,65.73,65.76,65.73,65.76,44,1,14300
78,2024-01-15 11:21:00,65.76,65.78,65.75,65.77,37,1,14100
79,2024-01-15 11:22:00,65.76,65.78,65.76,65.76,46,1,13300
80,2024-01-15 11:23:00,65.78,65.78,65.76,65.78,36,1,9000
81,2024-01-15 11:24:00,65.78,65.8,65.77,65.8,48,1,12700
82,2024-01-15 11:25:00,65.79,65.8,65.77,65.79,59,1,19500
83,2024-01-15 11:26:00,65.78,65.78,65.76,65.77,42,1,11700
84,2024-01-15 11:27:00,65.76,65.81,65.76,65.8,52,1,19400
85,2024-01-15 11:28:00,65.81,65.84,65.8,65.84,65,1,24100
86,2024-01-15 11:29:00,65.84,65.91,65.83,65.89,159,1,54800
87,2024-01-15 11:30:00,65.88,65.9,65.86,65.87,69,1,31500
88,2024-01-15 11:31:00,65.87,65.87,65.82,65.83,75,1,88100
89,2024-01-15 11:32:00,65.85,65.85,65.8,65.83,89,1,42700
90,2024-01-15 11:33:00,65.83,65.83,65.82,65.82,36,1,10700
91,2024-01-15 11:34:00,65.82,65.82,65.78,65.79,83,1,32500
92,2024-01-15 11:35:00,65.8,65.8,65.79,65.8,31,1,9700
93,2024-01-15 11:36:00,65.8,65.83,65.8,65.82,48,1,20800
94,2024-01-15 11:37:00,65.82,65.86,65.81,65.86,78,1,25300
95,2024-01-15 11:38:00,65.87,65.89,65.84,65.84,81,1,26500
96,2024-01-15 11:39:00,65.84,65.84,65.82,65.83,45,1,13300
97,2024-01-15 11:40:00,65.83,65.84,65.8,65.82,70,1,21000
98,2024-01-15 11:41:00,65.81,65.83,65.81,65.81,65,1,21200
99,2024-01-15 11:42:00,65.82,65.82,65.8,65.81,51,1,21000
100,2024-01-15 11:43:00,65.81,65.81,65.78,65.78,47,1,22100
101,2024-01-15 11:44:00,65.8,65.8,65.76,65.77,69,1,17200
102,2024-01-15 11:45:00,65.76,65.77,65.76,65.76,29,1,5800
103,2024-01-15 11:46:00,65.77,65.8,65.76,65.8,51,1,14800
104,2024-01-15 11:47:00,65.8,65.81,65.79,65.8,50,1,11600
105,2024-01-15 11:48:00,65.82,65.82,65.77,65.78,63,1,19100
106,2024-01-15 11:49:00,65.77,65.78,65.77,65.77,28,1,9500
107,2024-01-15 11:50:00,65.77,65.78,65.77,65.77,24,1,6100
108,2024-01-15 11:51:00,65.77,65.78,65.76,65.77,47,1,11200
109,2024-01-15 11:52:00,65.77,65.77,65.72,65.74,152,1,48900
110,2024-01-15 11:53:00,65.74,65.75,65.74,65.75,37,1,9600
111,2024-01-15 11:54:00,65.75,65.75,65.72,65.73,60,1,15700
112,2024-01-15 11:55:00,65.72,65.73,65.72,65.72,42,1,12500
113,2024-01-15 11:56:00,65.72,65.75,65.71,65.75,44,1,15200
114,2024-01-15 11:57:00,65.76,65.77,65.76,65.76,35,1,7300
115,2024-01-15 11:58:00,65.76,65.76,65.76,65.76,26,1,6500
116,2024-01-15 11:59:00,65.76,65.8,65.76,65.76,46,1,15400
117,2024-01-15 12:00:00,65.76,65.76,65.74,65.76,34,1,7200
118,2024-01-15 12:01:00,65.75,65.76,65.75,65.75,21,1,3800
119,2024-01-15 12:02:00,65.76,65.78,65.75,65.78,50,1,9300
120,2024-01-15 12:03:00,65.78,65.78,65.76,65.76,43,1,9400
121,2024-01-15 12:04:00,65.76,65.77,65.76,65.76,27,1,4600
122,2024-01-15 12:05:00,65.76,65.77,65.76,65.76,31,1,5800
123,2024-01-15 12:06:00,65.76,65.77,65.75,65.77,46,1,9400
124,2024-01-15 12:07:00,65.77,65.8,65.76,65.77,29,1,6200
125,2024-01-15 12:08:00,65.77,65.79,65.76,65.78,39,1,8600
126,2024-01-15 12:09:00,65.77,65.81,65.76,65.81,64,1,20900
127,2024-01-15 12:10:00,65.8,65.8,65.78,65.79,42,1,12100
128,2024-01-15 12:11:00,65.78,65.79,65.78,65.78,41,1,5300
129,2024-01-15 12:12:00,65.78,65.78,65.74,65.74,81,1,16700
130,2024-01-15 12:13:00,65.75,65.76,65.74,65.76,36,1,9200
131,2024-01-15 12:14:00,65.75,65.76,65.75,65.75,26,1,6800
132,2024-01-15 12:15:00,65.76,65.76,65.75,65.75,34,1,6900
133,2024-01-15 12:16:00,65.75,65.76,65.74,65.76,65,1,17200
134,2024-01-15 12:17:00,65.76,65.76,65.71,65.71,121,1,34100
135,2024-01-15 12:18:00,65.71,65.76,65.71,65.76,38,1,12100
136,2024-01-15 12:19:00,65.76,65.76,65.74,65.75,42,1,7800
137,2024-01-15 12:20:00,65.75,65.76,65.75,65.76,20,1,3100
138,2024-01-15 12:21:00,65.76,65.78,65.75,65.76,32,1,10100
139,2024-01-15 12:22:00,65.78,65.79,65.76,65.77,38,1,8000
140,2024-01-15 12:23:00,65.78,65.79,65.77,65.78,27,1,8200
141,2024-01-15 12:24:00,65.77,65.79,65.77,65.79,17,1,1800
142,2024-01-15 12:25:00,65.79,65.8,65.78,65.8,37,1,7100
143,2024-01-15 12:26:00,65.79,65.81,65.79,65.79,79,1,27700
144,2024-01-15 12:27:00,65.8,65.82,65.77,65.77,52,1,18200
145,2024-01-15 12:28:00,65.77,65.78,65.76,65.76,44,1,13500
146,2024-01-15 12:29:00,65.77,65.77,65.76,65.76,33,1,9000
147,2024-01-15 12:30:00,65.76,65.76,65.76,65.76,26,1,3400
148,2024-01-15 12:31:00,65.76,65.77,65.76,65.77,44,1,9000
149,2024-01-15 12:32:00,65.78,65.78,65.76,65.76,44,1,9500
150,2024-01-15 12:33:00,65.76,65.77,65.76,65.76,25,1,4200
